ID,Prediction
0,0
2,0
4,0
8,0
9,0
10,0
13,0
14,0
15,0
19,0
21,0
24,0
27,0
30,0
33,0
35,0
37,0
41,0
43,0
45,0
46,0
47,0
48,0
55,0
56,0
57,0
59,0
61,0
62,0
64,0
67,0
68,0
72,0
78,0
80,0
81,0
82,0
84,0
88,0
90,0
93,0
94,0
95,0
97,0
99,0
102,0
104,0
106,0
107,0
108,0
109,0
111,0
113,0
116,0
117,0
119,0
121,0
123,0
124,0
126,0
127,0
129,0
137,0
138,0
140,0
141,0
142,0
143,0
146,0
147,0
156,0
165,0
166,0
167,0
168,0
170,0
174,0
176,0
177,0
180,0
183,0
184,0
186,0
187,0
190,0
193,0
195,0
197,0
201,0
202,0
203,0
204,0
210,0
213,0
216,0
218,0
223,0
227,0
228,0
229,0
232,0
236,0
237,0
238,0
239,0
244,0
245,0
248,0
252,0
260,0
263,0
265,0
272,0
274,0
275,0
276,0
277,0
279,0
281,0
283,0
287,0
291,0
293,0
295,0
297,0
300,0
306,0
307,0
308,0
312,0
313,0
316,0
317,0
323,0
326,0
327,0
329,0
333,0
335,0
336,0
338,0
339,0
340,0
344,0
345,0
347,0
348,0
349,0
354,0
356,0
357,0
358,0
359,0
360,0
362,0
363,0
371,0
383,0
386,0
390,0
392,0
393,0
397,0
398,0
399,0
400,0
402,0
406,0
407,0
408,0
413,0
417,0
421,0
423,0
425,0
427,0
428,0
429,0
430,0
433,0
438,0
443,0
445,0
447,0
448,0
450,0
451,0
453,0
455,0
459,0
464,0
468,0
470,0
472,0
476,0
477,0
478,0
481,0
482,0
487,0
492,0
493,0
496,0
498,0
504,0
506,0
509,0
511,0
512,0
514,0
516,0
520,0
532,0
535,0
537,0
540,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
550,0
551,0
555,0
557,0
558,0
561,0
562,0
564,0
568,0
569,0
572,0
578,0
579,0
582,0
591,0
595,0
598,0
599,0
600,0
602,0
604,0
605,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
616,0
620,0
622,0
623,0
624,0
626,0
628,0
629,0
630,0
631,0
636,0
641,0
642,0
645,0
653,0
654,0
655,0
657,0
659,0
660,0
663,0
664,0
665,0
666,0
668,0
671,0
673,0
680,0
681,0
688,0
690,0
692,0
694,0
696,0
698,0
699,0
701,0
702,0
703,0
705,0
714,0
715,0
721,0
726,0
727,0
729,0
730,0
732,0
735,0
736,0
741,0
744,0
748,0
753,0
758,0
761,0
765,0
766,0
767,0
768,0
772,0
777,0
780,0
782,0
784,0
785,0
788,0
789,0
793,0
795,0
797,0
798,0
799,0
810,0
812,0
813,0
816,0
818,0
819,0
822,0
823,0
825,0
829,0
830,0
831,0
833,0
835,0
840,0
844,0
845,0
846,0
847,0
850,0
855,0
856,0
857,0
859,0
862,0
863,0
867,0
869,0
873,0
880,0
881,0
883,0
884,0
887,0
888,0
891,0
892,0
893,0
895,0
897,0
899,0
900,0
902,0
904,0
907,0
912,0
914,0
916,0
919,0
920,0
924,0
926,0
927,0
928,0
930,0
931,0
934,0
936,0
937,0
938,0
939,0
940,0
946,0
948,0
949,0
950,0
952,0
953,0
956,0
957,0
960,0
961,0
965,0
966,0
969,0
970,0
971,0
974,0
975,0
979,0
980,0
984,0
988,0
990,0
991,0
992,0
1001,0
1006,0
1008,0
1012,0
1014,0
1015,0
1020,0
1023,0
1026,0
1028,0
1029,0
1030,0
1032,0
1034,0
1035,0
1040,0
1043,0
1049,0
1050,0
1053,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1069,0
1071,0
1075,0
1076,0
1077,0
1082,0
1083,0
1084,0
